,MKPRU
1968,575.0
1969,584.0
1970,581.87
1974,620.45
1976,631.49
1979,658.72
1980,655.75
1981,654.3
1982,652.0
1984,649.89
1985,639.99
1988,557.92
1990,595.0
1994,593.33
1995,590.99
1996,596.08
1997,591.5
2000,569.0
2001,588.97
2007,644.04
2008,635.49
2009,632.78
2010,634.49
2012,623.7
2013,624.84
2014,619.78
2015,630.31
2018,622.8
2021,626.0
2022,629.86
2024,623.77
2028,601.18
2030,595.88
2032,586.96
2033,581.5
2035,586.0
2036,601.94
2038,589.79
2040,580.21
2041,581.6
2044,588.61
2046,578.97
2049,521.66
2050,498.16
2052,491.88
2053,468.19
2056,525.78
2057,518.25
2059,510.75
2060,503.79
2061,512.79
2062,514.84
2063,509.39
2064,511.99
2065,503.88
2066,477.98
2067,482.59
2068,483.65
2070,486.0
2071,485.91
2072,481.09
2073,480.62
2079,479.86
2081,475.3
2082,468.0
2085,398.89
2086,415.56
2090,431.91
2091,408.08
2092,405.14
2093,400.74
2094,380.0
2095,381.94
2097,385.27
2099,363.75
2101,293.67
2103,330.7
2105,378.94
2106,358.97
2107,359.99
2111,394.0
2112,378.02
2113,382.83
2114,389.68
2115,388.99
2116,384.95
2118,385.1
2119,363.99
2121,348.89
2124,354.94
2125,343.53
2129,326.41
2130,325.81
2131,328.72
2132,341.99
2133,347.96
2134,342.26
2135,345.84
2136,356.34
2138,365.04
2139,430.07
2140,406.56
2143,383.65
2145,379.91
2146,374.77
2147,361.7
2149,359.8
2151,384.0
2152,381.03
2153,371.44
2154,372.62
2155,376.12
2156,377.22
2157,375.96
2158,381.72
2159,381.93
2163,374.05
2164,375.73
2166,350.29
2167,350.97
2168,356.1
2170,350.31
2171,353.28
2172,352.15
2173,336.73
2177,325.7
2178,326.93
2181,327.59
2184,314.45
2185,317.5
2188,317.4
2189,315.7
2190,316.15
2191,302.33
2192,270.93
2195,276.8
2196,276.8
2199,272.25
2200,270.0
2201,230.89
2202,176.5
2203,218.11
2204,205.35
2207,212.39
2208,212.99
2209,215.2
2210,233.9
2211,233.03
2212,244.64
2214,271.47
2216,249.25
2217,233.19
2218,230.11
2221,223.0
2222,236.51
2223,222.56
2224,217.37
2225,220.47
2226,225.16
2228,220.39
2230,221.99
2231,221.83
2232,239.94
2233,245.31
2235,235.86
2236,244.0
2237,234.87
2242,237.09
2244,238.59
2245,237.5
2246,254.0
2248,247.56
2252,265.63
2253,272.12
2254,275.83
2256,287.48
2257,294.06
2258,293.29
2259,297.39
2261,284.21
2264,287.02
2265,265.85
2267,259.8
2269,260.5
2271,247.83
2272,245.68
2273,251.98
2275,251.52
2276,244.05
2278,242.92
2279,242.7
2280,252.44
2281,254.39
2282,253.77
2284,254.7
2285,255.48
2286,245.89
2287,244.98
2288,235.71
2291,225.99
2294,229.62
2295,222.67
2296,222.32
2298,224.63
2300,237.34
2301,235.48
2305,222.59
2306,222.66
2309,233.43
2310,234.13
2311,240.51
2312,236.17
2314,235.79
2318,239.35
2319,244.19
2321,242.72
2326,236.45
2327,232.04
2329,236.0
2330,240.5
2335,235.0
2336,236.48
2337,235.87
2338,231.12
2341,224.83
2343,225.54
2344,224.15
2345,224.49
2346,222.6
2347,228.0
2349,228.01
2350,229.0
2352,230.22
2353,232.05
2354,236.46
2355,245.35
2357,248.25
2359,244.08
2360,242.47
2361,246.35
2365,241.19
2366,248.5
2368,253.8
2370,257.85
2371,255.06
2372,255.1
2373,257.92
2376,267.26
2378,270.68
2379,286.98
2380,293.5
2382,289.9
2383,292.87
2384,290.95
2385,275.76
2389,278.26
2392,276.64
2393,287.3
2394,287.12
2395,292.33
2396,290.79
2398,290.7
2400,284.78
2404,285.0
2405,282.69
2406,277.1
2407,279.39
2414,266.99
2416,257.47
2417,257.47
2418,257.45
2420,233.29
2421,233.23
2424,228.68
2425,213.24
2426,222.02
2427,228.84
2430,228.22
2431,226.47
2433,228.32
2435,227.42
2436,230.8
2437,234.67
